Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
Patrick van Aanholt,NED,DF,Crystal Palace,29,1990,22,20,1777,19.7,0,1,1,0,0,0,2,0,1.4,1.4,0.7,2.1
Tammy Abraham,ENG,FW,Chelsea,22,1997,22,12,1040,11.6,6,1,7,6,0,0,0,0,5.9,5.9,0.7,6.6
Che Adams,SCO,FW,Southampton,24,1996,36,30,2667,29.6,9,5,14,9,0,0,1,0,9.8,9.8,5.0,14.8
Tosin Adarabioyo,ENG,DF,Fulham,22,1997,33,33,2953,32.8,0,0,0,0,0,0,1,0,1.1,1.1,0.3,1.4
Adrián,ESP,GK,Liverpool,33,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Sergio Agüero,ARG,FW,Manchester City,32,1988,12,7,559,6.2,4,1,5,3,1,2,0,0,3.5,1.9,1.2,3.1
Ola Aina,NGA,DF,Fulham,23,1996,31,31,2664,29.6,2,1,3,2,0,0,3,0,1.2,1.2,1.5,2.8
Rayan Aït Nouri,FRA,DF,Wolves,19,2001,21,16,1404,15.6,1,1,2,1,0,0,1,0,0.6,0.6,0.6,1.2
Semi Ajayi,NGA,DF,West Brom,26,1993,33,31,2780,30.9,2,0,2,2,0,0,3,1,1.9,1.9,0.5,2.4
Nathan Aké,NED,DF,Manchester City,25,1995,10,9,797,8.9,1,0,1,1,0,0,4,0,0.3,0.3,0.0,0.3
Marc Albrighton,ENG,"DF,FW",Leicester City,30,1989,31,17,1746,19.4,1,5,6,1,0,0,2,0,1.2,1.2,3.5,4.7
Thiago Alcántara,ESP,MF,Liverpool,29,1991,24,20,1854,20.6,1,0,1,1,0,0,4,0,1.2,1.2,2.3,3.5
Toby Alderweireld,BEL,DF,Tottenham,31,1989,25,25,2240,24.9,1,0,1,1,0,0,2,0,0.7,0.7,0.7,1.4
Rúnar Alex Rúnarsson,ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Trent Alexander-Arnold,ENG,DF,Liverpool,21,1998,36,34,3031,33.7,2,7,9,2,0,0,2,0,2.6,2.6,8.6,11.2
Ezgjan Alioski,MKD,"DF,MF",Leeds United,28,1992,36,29,2461,27.3,2,3,5,2,0,0,7,0,1.6,1.6,3.3,4.9
Alisson,BRA,GK,Liverpool,27,1992,33,33,2970,33.0,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1
Allan,BRA,MF,Everton,29,1991,24,23,2051,22.8,0,0,0,0,0,0,6,0,0.3,0.3,0.8,1.1
Dele Alli,ENG,MF,Tottenham,24,1996,15,7,620,6.9,0,1,1,0,0,0,0,0,2.0,2.0,1.2,3.3
Miguel Almirón,PAR,"MF,FW",Newcastle Utd,26,1994,34,28,2429,27.0,4,1,5,4,0,0,3,0,3.2,3.2,2.9,6.1
Marcos Alonso,ESP,DF,Chelsea,29,1990,13,11,960,10.7,2,0,2,2,0,0,2,0,1.8,1.8,1.3,3.2
Steven Alzate,COL,MF,Brighton,21,1998,15,10,896,10.0,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4
Daniel Amartey,GHA,DF,Leicester City,25,1994,12,8,722,8.0,1,0,1,1,0,0,3,0,0.4,0.4,0.0,0.4
Ethan Ampadu,WAL,"DF,MF",Sheffield Utd,19,2000,25,23,2089,23.2,0,0,0,0,0,0,3,0,0.3,0.3,1.2,1.5
Joachim Andersen,DEN,DF,Fulham,24,1996,31,30,2730,30.3,1,1,2,1,0,0,7,1,1.2,1.2,0.4,1.7
Elliot Anderson,SCO,MF,Newcastle Utd,17,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Felipe Anderson,BRA,"FW,MF",West Ham,27,1993,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Michail Antonio,JAM,FW,West Ham,30,1990,26,24,1974,21.9,10,5,15,10,0,0,3,0,12.9,12.9,3.0,16.0
Alphonse Areola,FRA,GK,Fulham,27,1993,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
Stuart Armstrong,SCO,MF,Southampton,28,1992,33,32,2764,30.7,4,5,9,4,0,0,3,0,2.7,2.7,2.6,5.3
Kepa Arrizabalaga,ESP,GK,Chelsea,25,1994,7,6,585,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,31,1989,29,26,2332,25.9,10,3,13,8,2,2,2,0,10.2,8.6,2.4,11.0
Serge Aurier,CIV,DF,Tottenham,27,1992,19,19,1605,17.8,2,3,5,2,0,0,0,0,1.1,1.1,3.4,4.5
Charlie Austin,ENG,"FW,MF",West Brom,31,1989,5,0,138,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4
Jordan Ayew,GHA,"FW,MF",Crystal Palace,28,1991,33,23,2096,23.3,1,3,4,1,0,0,4,0,2.2,2.2,0.7,2.9
Luke Ayling,ENG,DF,Leeds United,28,1991,38,38,3399,37.8,0,0,0,0,0,0,7,0,1.7,1.7,3.2,4.9
César Azpilicueta,ESP,DF,Chelsea,30,1989,26,24,2188,24.3,1,2,3,1,0,0,5,1,0.7,0.7,2.5,3.2
Eric Bailly,CIV,DF,Manchester Utd,26,1994,12,10,916,10.2,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1
Fabián Balbuena,PAR,DF,West Ham,28,1991,14,13,1198,13.3,1,0,1,1,0,0,1,1,0.7,0.7,0.0,0.7
George Baldock,GRE,DF,Sheffield Utd,27,1993,32,32,2787,31.0,0,2,2,0,0,0,7,0,1.2,1.2,2.9,4.0
Gareth Bale,WAL,FW,Tottenham,31,1989,20,10,920,10.2,11,2,13,11,0,0,1,0,5.8,5.8,1.8,7.6
Patrick Bamford,ENG,FW,Leeds United,26,1993,38,37,3050,33.9,17,7,24,15,2,2,3,0,18.2,16.6,3.5,20.2
Phil Bardsley,SCO,DF,Burnley,35,1985,4,3,274,3.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1
Ross Barkley,ENG,MF,Aston Villa,26,1993,24,18,1531,17.0,3,1,4,3,0,0,0,0,3.1,3.1,4.2,7.3
Ross Barkley,ENG,"FW,MF",Chelsea,26,1993,2,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
Ashley Barnes,ENG,FW,Burnley,30,1989,22,15,1331,14.8,3,0,3,2,1,1,4,0,4.1,3.3,0.8,4.1
Harvey Barnes,ENG,"FW,MF",Leicester City,22,1997,25,22,1945,21.6,9,4,13,9,0,0,0,0,5.9,5.9,1.6,7.5
Kyle Bartley,ENG,DF,West Brom,29,1991,30,28,2584,28.7,3,1,4,3,0,0,4,0,2.5,2.5,1.4,3.9
Chris Basham,ENG,"DF,MF",Sheffield Utd,32,1988,31,31,2576,28.6,0,1,1,0,0,0,5,0,0.7,0.7,0.9,1.6
Michy Batshuayi,BEL,FW,Crystal Palace,26,1993,18,7,728,8.1,2,1,3,2,0,0,0,0,1.6,1.6,1.6,3.2
Jan Bednarek,POL,DF,Southampton,24,1996,36,36,3100,34.4,1,1,2,1,0,0,5,1,0.7,0.7,0.6,1.3
Donny van de Beek,NED,"MF,FW",Manchester Utd,23,1997,19,4,524,5.8,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.3
Héctor Bellerín,ESP,"DF,MF",Arsenal,25,1995,25,24,2089,23.2,1,2,3,1,0,0,8,0,0.8,0.8,2.4,3.2
Saïd Benrahma,ALG,"FW,MF",West Ham,24,1995,30,14,1391,15.5,1,6,7,1,0,0,0,0,2.6,2.6,4.1,6.7
Josh Benson,ENG,MF,Burnley,20,1999,6,2,264,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2
Christian Benteke,BEL,FW,Crystal Palace,29,1990,30,21,1816,20.2,10,1,11,10,0,0,3,1,8.3,8.3,0.9,9.1
Gaetano Berardi,SUI,DF,Leeds United,31,1988,2,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Jóhann Berg Guðmundsson,ISL,MF,Burnley,29,1990,22,16,1363,15.1,2,0,2,2,0,0,2,0,1.2,1.2,0.5,1.7
Sander Berge,NOR,MF,Sheffield Utd,22,1998,15,13,1120,12.4,1,1,2,0,1,1,4,0,1.2,0.4,1.1,1.6
Steven Bergwijn,NED,"FW,MF",Tottenham,22,1997,21,13,1208,13.4,1,3,4,1,0,0,3,0,2.0,2.0,0.9,2.9
Bernard,BRA,"MF,FW",Everton,27,1992,12,3,455,5.1,1,0,1,1,0,0,2,0,0.3,0.3,0.6,0.8
Bernardo,BRA,"DF,MF",Brighton,25,1995,3,2,206,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5
Ryan Bertrand,ENG,DF,Southampton,30,1989,29,29,2598,28.9,0,1,1,0,0,0,5,0,0.4,0.4,1.3,1.6
Yves Bissouma,MLI,MF,Brighton,23,1996,36,35,3111,34.6,1,0,1,1,0,0,8,1,1.4,1.4,0.9,2.3
Jayden Bogle,ENG,"DF,MF",Sheffield Utd,20,2000,16,12,1110,12.3,2,0,2,2,0,0,2,0,1.9,1.9,0.2,2.2
Willy Boly,CIV,DF,Wolves,29,1991,21,21,1879,20.9,1,1,2,1,0,0,2,0,1.1,1.1,0.3,1.4
Jarrod Bowen,ENG,"FW,MF",West Ham,23,1996,38,30,2562,28.5,8,5,13,8,0,0,0,0,7.1,7.1,5.0,12.0
Robbie Brady,IRL,MF,Burnley,28,1992,19,12,1052,11.7,1,1,2,1,0,0,3,0,0.8,0.8,0.9,1.7
Rhian Brewster,ENG,"FW,MF",Sheffield Utd,20,2000,27,12,1128,12.5,0,0,0,0,0,0,1,0,1.8,1.8,1.6,3.4
Nathan Broadhead,WAL,FW,Everton,22,1998,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Josh Brownhill,ENG,MF,Burnley,24,1995,33,32,2813,31.3,0,1,1,0,0,0,2,0,1.9,1.9,0.7,2.6
Joe Bryan,ENG,"DF,MF",Fulham,26,1993,16,7,669,7.4,1,0,1,1,0,0,2,0,0.6,0.6,0.3,0.9
Kean Bryan,ENG,DF,Sheffield Utd,23,1996,13,12,1004,11.2,1,0,1,1,0,0,1,0,0.9,0.9,0.6,1.5
Oliver Burke,SCO,FW,Sheffield Utd,23,1997,25,14,1269,14.1,1,1,2,1,0,0,2,0,2.1,2.1,2.2,4.3
Dan Burn,ENG,DF,Brighton,28,1992,27,23,2061,22.9,1,0,1,1,0,0,5,0,1.5,1.5,0.8,2.3
Jack Butland,ENG,GK,Crystal Palace,27,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
David Button,ENG,GK,West Brom,31,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Oskar Buur,DEN,DF,Wolves,22,1998,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Willy Caballero,ARG,GK,Chelsea,38,1981,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Gary Cahill,ENG,DF,Crystal Palace,34,1985,20,20,1800,20.0,1,1,2,1,0,0,3,0,0.7,0.7,0.6,1.4
Tom Cairney,SCO,MF,Fulham,29,1991,10,9,759,8.4,1,1,2,1,0,0,2,0,0.5,0.5,1.1,1.6
Dominic Calvert-Lewin,ENG,FW,Everton,23,1997,33,32,2871,31.9,16,0,16,16,0,0,3,0,16.3,16.3,2.0,18.3
João Cancelo,POR,"DF,MF",Manchester City,26,1994,28,27,2299,25.5,2,3,5,2,0,0,5,1,1.6,1.6,4.6,6.2
Ian Carlo Poveda,ENG,MF,Leeds United,20,2000,14,0,355,3.9,0,0,0,0,0,0,0,0,0.3,0.3,1.1,1.4
Andy Carroll,ENG,FW,Newcastle Utd,31,1989,18,4,392,4.4,1,0,1,1,0,0,1,0,0.8,0.8,0.1,0.9
Scott Carson,ENG,GK,Manchester City,34,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Fabio Carvalho,POR,"MF,FW",Fulham,17,2002,4,3,255,2.8,1,0,1,1,0,0,0,0,1.2,1.2,0.4,1.6
Matty Cash,POL,DF,Aston Villa,22,1997,28,28,2372,26.4,0,2,2,0,0,0,8,1,0.3,0.3,1.7,2.0
Kiko Casilla,ESP,GK,Leeds United,33,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Timothy Castagne,BEL,DF,Leicester City,24,1995,27,27,2345,26.1,2,3,5,2,0,0,1,0,1.1,1.1,2.2,3.4
Jonny Castro,ESP,"MF,DF",Wolves,26,1994,7,7,495,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
Ivan Cavaleiro,POR,FW,Fulham,26,1993,36,27,2472,27.5,3,0,3,2,1,2,2,0,6.4,4.8,2.7,7.5
Edinson Cavani,URU,FW,Manchester Utd,33,1987,26,13,1375,15.3,10,3,13,10,0,0,4,0,8.0,8.0,2.2,10.3
Dani Ceballos,ESP,MF,Arsenal,23,1996,25,17,1615,17.9,0,3,3,0,0,0,4,0,0.6,0.6,2.6,3.3
Calum Chambers,ENG,DF,Arsenal,25,1995,10,8,753,8.4,0,2,2,0,0,0,0,0,0.4,0.4,1.1,1.5
Ben Chilwell,ENG,DF,Chelsea,23,1996,27,27,2286,25.4,3,5,8,3,0,0,3,0,2.4,2.4,2.4,4.9
Hamza Choudhury,ENG,MF,Leicester City,22,1997,10,4,316,3.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4
Andreas Christensen,DEN,DF,Chelsea,24,1996,17,15,1371,15.2,0,0,0,0,0,0,2,1,0.1,0.1,0.3,0.4
Carney Chukwuemeka,ENG,"MF,FW",Aston Villa,16,2003,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ciaran Clark,IRL,DF,Newcastle Utd,30,1989,22,21,1891,21.0,1,0,1,1,0,0,3,0,0.7,0.7,0.1,0.8
Nathaniel Clyne,ENG,DF,Crystal Palace,29,1991,13,13,1145,12.7,0,1,1,0,0,0,2,0,0.2,0.2,0.2,0.4
Conor Coady,ENG,DF,Wolves,27,1993,37,37,3303,36.7,1,0,1,1,0,0,5,0,1.0,1.0,0.2,1.2
Séamus Coleman,IRL,"DF,MF",Everton,31,1988,25,18,1613,17.9,0,3,3,0,0,0,0,0,0.9,0.9,1.8,2.7
Aaron Connolly,IRL,FW,Brighton,20,2000,17,9,791,8.8,2,1,3,2,0,0,0,0,4.0,4.0,0.2,4.2
Liam Cooper,SCO,DF,Leeds United,28,1991,25,25,2185,24.3,1,0,1,1,0,0,4,1,1.8,1.8,0.0,1.8
Theo Corbeanu,CAN,FW,Wolves,18,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jack Cork,ENG,MF,Burnley,31,1989,16,15,1350,15.0,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8
Hélder Costa,ANG,"MF,FW",Leeds United,26,1994,22,13,1156,12.8,3,3,6,3,0,0,0,0,2.2,2.2,0.6,2.8
Vladimír Coufal,CZE,DF,West Ham,27,1992,34,34,3054,33.9,0,7,7,0,0,0,3,0,1.3,1.3,5.5,6.7
Aaron Cresswell,ENG,DF,West Ham,30,1989,36,36,3170,35.2,0,8,8,0,0,0,3,0,1.0,1.0,6.5,7.5
Patrick Cutrone,ITA,FW,Wolves,22,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Stuart Dallas,NIR,"MF,DF",Leeds United,29,1991,38,38,3409,37.9,8,2,10,8,0,0,7,0,4.2,4.2,1.8,6.1
Scott Dann,ENG,DF,Crystal Palace,33,1987,15,15,1350,15.0,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3
Karl Darlow,ENG,GK,Newcastle Utd,29,1990,25,25,2250,25.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0
Ben Davies,WAL,DF,Tottenham,27,1993,20,14,1346,15.0,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8
Tom Davies,ENG,MF,Everton,22,1998,25,17,1423,15.8,0,1,1,0,0,0,3,0,0.2,0.2,0.9,1.1
Keinan Davis,ENG,"FW,MF",Aston Villa,22,1998,15,1,277,3.1,1,1,2,1,0,0,0,0,1.5,1.5,0.6,2.1
Leif Davis,ENG,DF,Leeds United,20,2000,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Craig Dawson,ENG,DF,West Ham,30,1990,22,22,1925,21.4,3,0,3,3,0,0,5,1,1.9,1.9,0.1,1.9
Kevin De Bruyne,BEL,MF,Manchester City,29,1991,25,23,1997,22.2,6,12,18,4,2,3,1,0,9.3,6.9,8.0,14.9
Liam Delap,ENG,FW,Manchester City,17,2003,1,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Fabian Delph,ENG,"MF,DF",Everton,30,1989,8,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1
Leander Dendoncker,BEL,"MF,DF",Wolves,25,1995,33,28,2503,27.8,1,0,1,1,0,0,4,0,3.1,3.1,0.7,3.9
Mbaye Diagne,SEN,FW,West Brom,28,1991,16,14,1189,13.2,3,2,5,3,0,0,2,0,6.6,6.6,1.0,7.6
Amad Diallo,CIV,FW,Manchester Utd,18,2002,3,2,166,1.8,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5
Ibrahima Diallo,FRA,MF,Southampton,21,1999,22,10,1020,11.3,0,0,0,0,0,0,3,0,0.5,0.5,0.6,1.1
Grady Diangana,ENG,"MF,FW",West Brom,22,1998,20,15,1235,13.7,1,0,1,1,0,0,0,0,1.1,1.1,0.2,1.2
Rúben Dias,POR,DF,Manchester City,23,1997,32,32,2843,31.6,1,0,1,1,0,0,4,0,1.9,1.9,0.1,2.0
Eric Dier,ENG,DF,Tottenham,26,1994,28,28,2520,28.0,0,0,0,0,0,0,3,0,1.2,1.2,0.3,1.4
Lucas Digne,FRA,"DF,MF",Everton,27,1993,30,30,2681,29.8,0,7,7,0,0,0,2,1,0.5,0.5,5.2,5.7
Issa Diop,FRA,DF,West Ham,23,1997,18,15,1381,15.3,2,0,2,2,0,0,3,0,0.5,0.5,0.0,0.5
Moussa Djenepo,MLI,MF,Southampton,22,1998,27,15,1240,13.8,1,0,1,1,0,0,5,0,0.8,0.8,0.4,1.2
Matt Doherty,IRL,DF,Tottenham,28,1992,17,13,1240,13.8,0,2,2,0,0,0,4,1,0.4,0.4,0.7,1.1
Gabriel Dos Santos,BRA,DF,Arsenal,22,1997,23,22,1996,22.2,2,0,2,2,0,0,4,1,1.3,1.3,0.1,1.4
Abdoulaye Doucouré,MLI,MF,Everton,27,1993,29,29,2443,27.1,2,3,5,2,0,0,6,0,2.3,2.3,2.0,4.3
Martin Dúbravka,SVK,GK,Newcastle Utd,31,1989,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Paul Dummett,WAL,DF,Newcastle Utd,28,1991,15,14,1255,13.9,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5
Lewis Dunk,ENG,DF,Brighton,28,1991,33,33,2931,32.6,5,0,5,5,0,0,5,2,2.2,2.2,1.2,3.4
Jimmy Dunne,IRL,DF,Burnley,22,1997,3,3,270,3.0,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6
Ederson,BRA,GK,Manchester City,26,1993,36,36,3240,36.0,0,1,1,0,0,0,3,0,0.0,0.0,0.3,0.3
Kyle Edwards,ENG,"MF,FW",West Brom,22,1998,5,1,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
John Egan,IRL,DF,Sheffield Utd,27,1992,31,30,2629,29.2,0,1,1,0,0,0,7,1,0.8,0.8,0.6,1.4
Anthony Elanga,SWE,FW,Manchester Utd,18,2002,2,2,155,1.7,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.5
Ahmed Elmohamady,EGY,DF,Aston Villa,32,1987,14,8,839,9.3,0,0,0,0,0,0,2,0,0.4,0.4,1.0,1.4
Mohamed Elneny,EGY,MF,Arsenal,28,1992,23,17,1544,17.2,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6
Jonny Evans,NIR,DF,Leicester City,32,1988,28,28,2473,27.5,2,2,4,2,0,0,7,0,1.7,1.7,0.4,2.1
Eberechi Eze,ENG,MF,Crystal Palace,22,1998,34,29,2559,28.4,4,6,10,4,0,0,3,0,2.2,2.2,3.9,6.1
Łukasz Fabiański,POL,GK,West Ham,35,1985,35,35,3150,35.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
Fabinho,BRA,"DF,MF",Liverpool,26,1993,30,28,2567,28.5,0,0,0,0,0,0,6,0,0.3,0.3,0.3,0.6
Bruno Fernandes,POR,MF,Manchester Utd,25,1994,37,35,3099,34.4,18,12,30,9,9,10,6,0,16.1,8.2,11.4,19.6
Federico Fernández,ARG,DF,Newcastle Utd,31,1989,24,24,2079,23.1,0,0,0,0,0,0,4,0,0.3,0.3,0.6,0.8
Fernandinho,BRA,MF,Manchester City,35,1985,21,12,1188,13.2,0,2,2,0,0,0,6,0,0.7,0.7,1.3,1.9
Sam Field,ENG,MF,West Brom,22,1998,3,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Roberto Firmino,BRA,FW,Liverpool,28,1991,36,33,2838,31.5,9,7,16,9,0,0,2,0,11.3,11.3,5.6,16.9
John Fleck,SCO,MF,Sheffield Utd,28,1991,31,29,2575,28.6,0,2,2,0,0,0,4,0,0.6,0.6,2.9,3.5
Phil Foden,ENG,"FW,MF",Manchester City,20,2000,28,17,1616,18.0,9,5,14,9,0,0,0,0,5.0,5.0,3.6,8.6
Wesley Fofana,FRA,DF,Leicester City,19,2000,28,27,2262,25.1,0,0,0,0,0,0,7,0,1.0,1.0,0.3,1.3
Pablo Fornals,ESP,"FW,MF",West Ham,24,1996,33,31,2572,28.6,5,4,9,5,0,0,3,0,6.0,6.0,2.3,8.4
Fraser Forster,ENG,GK,Southampton,32,1988,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Timothy Fosu-Mensah,NED,DF,Manchester Utd,22,1998,1,1,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3
Tyrese Francois,AUS,DF,Fulham,20,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ryan Fraser,SCO,"FW,MF",Newcastle Utd,26,1994,18,9,928,10.3,0,2,2,0,0,0,2,1,0.9,0.9,2.0,2.9
Fred,BRA,MF,Manchester Utd,27,1993,30,27,2390,26.6,1,0,1,1,0,0,5,0,1.8,1.8,1.9,3.7
Ryan Fredericks,ENG,"DF,FW",West Ham,27,1992,14,6,569,6.3,1,1,2,1,0,0,2,0,0.3,0.3,1.2,1.5
Christian Fuchs,AUT,DF,Leicester City,34,1986,9,8,702,7.8,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1
Darnell Furlong,ENG,DF,West Brom,24,1995,35,32,2932,32.6,1,3,4,1,0,0,5,0,2.0,2.0,1.9,4.0
Conor Gallagher,ENG,MF,West Brom,20,2000,30,28,2531,28.1,2,2,4,2,0,0,11,0,1.5,1.5,1.8,3.3
Eric García,ESP,DF,Manchester City,19,2001,6,3,383,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Dwight Gayle,ENG,"FW,MF",Newcastle Utd,29,1990,18,4,514,5.7,1,1,2,1,0,0,0,0,2.9,2.9,0.3,3.3
Jean-Philippe Gbamin,CIV,MF,Everton,24,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
David de Gea,ESP,GK,Manchester Utd,29,1990,26,26,2295,25.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Anwar El Ghazi,NED,FW,Aston Villa,25,1995,28,17,1613,17.9,10,0,10,6,4,4,2,0,8.4,5.3,1.8,7.1
Kieran Gibbs,ENG,DF,West Brom,30,1989,10,9,809,9.0,0,0,0,0,0,0,1,1,0.1,0.1,0.4,0.4
Morgan Gibbs-White,ENG,"MF,FW",Wolves,20,2000,11,4,414,4.6,1,0,1,1,0,0,1,0,0.8,0.8,0.4,1.2
Billy Gilmour,SCO,MF,Chelsea,19,2001,5,3,261,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2
Olivier Giroud,FRA,FW,Chelsea,33,1986,17,8,748,8.3,4,0,4,4,0,0,1,0,4.2,4.2,1.1,5.3
