Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
Denis Odoi,GHA,DF,Fulham,32,1988,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1
Angelo Ogbonna,ITA,DF,West Ham,32,1988,28,28,2492,27.7,3,0,3,3,0,0,5,0,1.7,1.7,0.8,2.5
Robin Olsen,SWE,GK,Everton,30,1990,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Josh Onomah,ENG,MF,Fulham,23,1997,11,4,374,4.2,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4
Divock Origi,BEL,FW,Liverpool,25,1995,9,2,186,2.1,0,0,0,0,0,0,0,0,1.1,1.1,0.2,1.3
Ben Osborn,ENG,"MF,DF",Sheffield Utd,25,1994,24,17,1604,17.8,1,0,1,1,0,0,1,0,1.1,1.1,2.0,3.2
Owen Otasowie,USA,"MF,FW",Wolves,19,2001,6,2,187,2.1,0,1,1,0,0,0,1,0,0.5,0.5,0.1,0.6
Alex Oxlade-Chamberlain,ENG,"MF,FW",Liverpool,26,1993,13,2,253,2.8,1,1,2,1,0,0,0,0,0.3,0.3,0.3,0.6
Emerson Palmieri,ITA,DF,Chelsea,25,1994,2,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Thomas Partey,GHA,MF,Arsenal,27,1993,24,18,1534,17.0,0,2,2,0,0,0,5,0,1.3,1.3,1.0,2.4
Rui Patrício,POR,GK,Wolves,32,1988,37,37,3329,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Bailey Peacock-Farrell,NIR,GK,Burnley,23,1996,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Lee Peltier,ENG,DF,West Brom,33,1986,4,3,229,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Nicolas Pépé,CIV,FW,Arsenal,25,1995,29,16,1616,18.0,10,1,11,9,1,1,1,1,5.8,5.0,1.0,6.0
Matheus Pereira,POR,"MF,FW",West Brom,24,1996,33,30,2577,28.6,11,6,17,7,4,4,2,1,7.3,4.2,6.3,10.5
Ricardo Pereira,POR,"DF,FW",Leicester City,26,1993,15,10,959,10.7,0,1,1,0,0,0,3,0,0.3,0.3,0.6,1.0
Ayoze Pérez,ESP,"MF,FW",Leicester City,27,1993,25,15,1331,14.8,2,1,3,2,0,0,2,0,3.3,3.3,1.3,4.6
Kalvin Phillips,ENG,MF,Leeds United,24,1995,29,28,2428,27.0,1,2,3,1,0,0,10,0,0.5,0.5,3.4,3.9
Matt Phillips,SCO,MF,West Brom,29,1991,33,20,1828,20.3,2,1,3,2,0,0,1,0,2.8,2.8,3.4,6.3
Nathaniel Phillips,ENG,DF,Liverpool,23,1997,17,15,1456,16.2,1,1,2,1,0,0,2,0,1.0,1.0,0.6,1.6
Jaden Philogene Bidace,ENG,FW,Aston Villa,18,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jordan Pickford,ENG,GK,Everton,26,1994,31,31,2742,30.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Erik Pieters,NED,"DF,MF",Burnley,31,1988,20,13,1266,14.1,0,1,1,0,0,0,1,0,0.2,0.2,0.4,0.6
Daniel Podence,POR,"MF,FW",Wolves,24,1995,24,22,1661,18.5,3,2,5,3,0,0,3,0,2.5,2.5,1.7,4.2
Paul Pogba,FRA,"MF,FW",Manchester Utd,27,1993,26,21,1897,21.1,3,3,6,3,0,0,3,0,2.8,2.8,2.4,5.2
Nick Pope,ENG,GK,Burnley,28,1992,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1
Dennis Praet,BEL,MF,Leicester City,26,1994,15,10,718,8.0,1,1,2,1,0,0,0,0,0.4,0.4,1.1,1.5
Davy Pröpper,NED,MF,Brighton,28,1991,7,2,213,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2
Christian Pulisic,USA,"FW,MF",Chelsea,21,1998,27,18,1738,19.3,4,2,6,4,0,0,2,0,6.1,6.1,2.8,8.9
Aaron Ramsdale,ENG,GK,Sheffield Utd,22,1998,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1
Jacob Ramsey,ENG,MF,Aston Villa,19,2001,22,6,626,7.0,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8
Kayne Ramsey,ENG,DF,Southampton,19,2000,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Darren Randolph,IRL,GK,West Ham,33,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Raphinha,BRA,"MF,FW",Leeds United,23,1996,30,26,2360,26.2,6,9,15,6,0,0,3,0,5.7,5.7,7.9,13.6
Marcus Rashford,ENG,FW,Manchester Utd,22,1997,37,33,2920,32.4,11,9,20,11,0,0,4,0,8.9,8.9,3.8,12.8
Tim Ream,USA,DF,Fulham,32,1987,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nathan Redmond,ENG,"MF,FW",Southampton,26,1994,29,17,1738,19.3,2,3,5,2,0,0,1,0,3.1,3.1,3.2,6.2
Harrison Reed,ENG,MF,Fulham,25,1995,31,26,2247,25.0,0,2,2,0,0,0,5,0,0.4,0.4,1.7,2.1
Sergio Reguilón,ESP,DF,Tottenham,23,1996,27,26,2244,24.9,0,3,3,0,0,0,5,0,1.0,1.0,2.0,3.1
Bobby Reid,JAM,"MF,FW",Fulham,27,1993,33,28,2372,26.4,5,2,7,5,0,0,7,0,3.8,3.8,1.1,4.9
Declan Rice,ENG,MF,West Ham,21,1999,32,32,2879,32.0,2,1,3,1,1,2,2,0,3.2,1.6,1.8,3.4
Lewis Richardson,ENG,"FW,MF",Burnley,17,2003,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Richarlison,BRA,FW,Everton,23,1997,34,33,2861,31.8,7,3,10,6,1,1,4,1,9.7,8.8,3.3,12.1
Jaïro Riedewald,NED,MF,Crystal Palace,23,1996,33,19,1820,20.2,2,0,2,2,0,0,4,0,0.6,0.6,0.8,1.3
Matt Ritchie,SCO,"DF,MF",Newcastle Utd,30,1989,18,15,1350,15.0,0,2,2,0,0,0,2,0,0.4,0.4,2.2,2.6
Tyler Roberts,WAL,"MF,FW",Leeds United,21,1999,27,14,1340,14.9,1,2,3,1,0,0,3,0,1.8,1.8,2.3,4.1
Andrew Robertson,SCO,DF,Liverpool,26,1994,38,38,3383,37.6,1,7,8,1,0,0,2,0,1.5,1.5,6.6,8.0
Antonee Robinson,USA,DF,Fulham,22,1997,28,24,2162,24.0,0,0,0,0,0,0,4,1,0.4,0.4,1.9,2.3
Callum Robinson,IRL,"FW,MF",West Brom,25,1995,28,20,1560,17.3,5,0,5,5,0,0,0,0,3.1,3.1,1.0,4.1
Jack Robinson,ENG,DF,Sheffield Utd,26,1993,11,9,877,9.7,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3
Hal Robson-Kanu,WAL,FW,West Brom,31,1989,19,2,561,6.2,2,0,2,2,0,0,2,0,1.2,1.2,0.2,1.5
Marek Rodák,SVK,GK,Fulham,23,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Joe Rodon,WAL,DF,Tottenham,22,1997,12,8,733,8.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Rodri,ESP,MF,Manchester City,24,1996,34,31,2748,30.5,2,2,4,1,1,1,6,0,2.4,1.6,1.4,3.1
Rodrigo,ESP,"MF,FW",Leeds United,29,1991,26,14,1288,14.3,7,2,9,7,0,0,3,0,5.1,5.1,3.5,8.7
James Rodríguez,COL,"FW,MF",Everton,29,1991,23,21,1764,19.6,6,4,10,6,0,0,4,0,2.8,2.8,4.8,7.6
Jay Rodriguez,ENG,FW,Burnley,31,1989,31,12,1265,14.1,1,2,3,1,0,0,3,0,3.0,3.0,1.1,4.1
Oriol Romeu,ESP,MF,Southampton,28,1991,21,20,1763,19.6,1,1,2,1,0,0,6,0,0.5,0.5,1.4,1.8
John Ruddy,ENG,GK,Wolves,33,1986,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Antonio Rüdiger,GER,DF,Chelsea,27,1993,19,19,1710,19.0,1,0,1,1,0,0,0,0,1.3,1.3,0.4,1.7
Mathew Ryan,AUS,GK,Arsenal,28,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
Mathew Ryan,AUS,GK,Brighton,28,1992,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Allan Saint-Maximin,FRA,"FW,MF",Newcastle Utd,23,1997,25,19,1560,17.3,3,4,7,3,0,0,0,0,2.6,2.6,3.7,6.3
Romain Saïss,MAR,DF,Wolves,30,1990,27,27,2407,26.7,3,0,3,3,0,0,2,0,3.0,3.0,0.2,3.3
Bukayo Saka,ENG,"FW,MF",Arsenal,18,2001,32,30,2553,28.4,5,3,8,5,0,0,1,0,6.9,6.9,4.4,11.3
Mamadou Sakho,FRA,DF,Crystal Palace,30,1990,4,3,276,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Mohamed Salah,EGY,FW,Liverpool,28,1992,37,34,3078,34.2,22,5,27,16,6,6,0,0,19.3,14.6,6.2,20.8
Mohammed Salisu,GHA,DF,Southampton,21,1999,12,8,844,9.4,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7
Davinson Sánchez,COL,DF,Tottenham,24,1996,18,17,1486,16.5,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8
Robert Sánchez,ESP,GK,Brighton,22,1997,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
Morgan Sanson,FRA,MF,Aston Villa,25,1994,9,3,294,3.3,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.2
Romaine Sawyers,SKN,MF,West Brom,28,1991,19,17,1487,16.5,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.7
Dane Scarlett,ENG,FW,Tottenham,16,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Fabian Schär,SUI,DF,Newcastle Utd,28,1991,18,13,1246,13.8,1,0,1,0,1,1,4,1,1.3,0.5,0.0,0.5
Jeffrey Schlupp,GHA,MF,Crystal Palace,27,1992,27,15,1428,15.9,2,3,5,2,0,0,3,0,1.9,1.9,2.0,4.0
Kasper Schmeichel,DEN,GK,Leicester City,33,1986,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nélson Semedo,POR,"DF,MF",Wolves,26,1993,34,34,2983,33.1,1,1,2,1,0,0,5,0,1.3,1.3,1.3,2.6
Femi Seriki,ENG,MF,Sheffield Utd,18,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jamie Shackleton,ENG,"MF,DF",Leeds United,20,1999,13,3,461,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
Xherdan Shaqiri,SUI,"MF,FW",Liverpool,28,1991,14,5,556,6.2,0,2,2,0,0,0,2,0,0.5,0.5,2.5,3.0
Billy Sharp,ENG,FW,Sheffield Utd,34,1986,16,7,735,8.2,3,0,3,1,2,2,1,0,3.0,1.5,0.5,2.0
Luke Shaw,ENG,DF,Manchester Utd,25,1995,32,30,2654,29.5,1,5,6,1,0,0,8,0,0.6,0.6,6.4,7.0
Jonjo Shelvey,ENG,MF,Newcastle Utd,28,1992,30,29,2617,29.1,1,3,4,1,0,0,7,0,2.5,2.5,3.0,5.5
Shola Shoretire,ENG,FW,Manchester Utd,16,2004,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Gylfi Sigurðsson,ISL,"MF,FW",Everton,30,1989,36,24,2253,25.0,6,5,11,3,3,4,2,0,6.5,3.4,3.8,7.2
Bernardo Silva,POR,"MF,FW",Manchester City,25,1994,26,24,2065,22.9,2,6,8,2,0,0,5,0,2.8,2.8,3.8,6.5
Fábio Silva,POR,FW,Wolves,18,2002,32,11,1369,15.2,4,3,7,3,1,1,2,0,5.3,4.5,1.0,5.5
Thiago Silva,BRA,DF,Chelsea,35,1984,23,23,1935,21.5,2,0,2,2,0,0,5,1,1.7,1.7,0.3,2.0
Moussa Sissoko,FRA,MF,Tottenham,30,1989,25,15,1585,17.6,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.4
Islam Slimani,ALG,FW,Leicester City,32,1988,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
William Smallbone,IRL,MF,Southampton,20,2000,3,2,172,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Emile Smith Rowe,ENG,"MF,FW",Arsenal,20,2000,20,18,1440,16.0,2,4,6,2,0,0,0,0,1.8,1.8,3.4,5.1
Robert Snodgrass,SCO,"MF,FW",West Brom,32,1987,8,6,526,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7
Robert Snodgrass,SCO,"FW,MF",West Ham,32,1987,3,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Cédric Soares,POR,DF,Arsenal,28,1991,10,8,746,8.3,0,1,1,0,0,0,1,0,0.3,0.3,0.9,1.2
Tomáš Souček,CZE,MF,West Ham,25,1995,38,38,3419,38.0,10,1,11,10,0,0,7,1,8.4,8.4,2.0,10.4
Çağlar Söyüncü,TUR,DF,Leicester City,24,1996,23,19,1819,20.2,1,0,1,1,0,0,2,0,0.7,0.7,0.5,1.2
Zack Steffen,USA,GK,Manchester City,25,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Dale Stephens,ENG,MF,Burnley,31,1989,7,3,261,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2
Jack Stephens,ENG,DF,Southampton,26,1994,18,17,1537,17.1,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1
Raheem Sterling,ENG,FW,Manchester City,25,1994,31,28,2536,28.2,10,7,17,10,0,1,4,0,11.0,10.2,5.7,15.9
Enda Stevens,IRL,DF,Sheffield Utd,30,1990,30,30,2700,30.0,0,1,1,0,0,0,6,0,1.3,1.3,1.6,2.9
John Stones,ENG,DF,Manchester City,26,1994,22,22,1933,21.5,4,0,4,4,0,0,0,1,1.8,1.8,0.1,1.8
Pascal Struijk,NED,"DF,MF",Leeds United,20,1999,27,22,2075,23.1,1,0,1,1,0,0,3,0,1.7,1.7,0.1,1.8
Japhet Tanganga,ENG,DF,Tottenham,21,1999,6,6,487,5.4,0,0,0,0,0,0,2,0,0.4,0.4,0.6,1.1
Matt Targett,ENG,DF,Aston Villa,24,1995,38,38,3404,37.8,0,2,2,0,0,0,7,0,0.3,0.3,2.5,2.8
James Tarkowski,ENG,DF,Burnley,27,1992,36,36,3240,36.0,1,0,1,1,0,0,6,0,3.4,3.4,1.2,4.5
Percy Tau,RSA,FW,Brighton,26,1994,3,1,103,1.1,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4
Sidnei Tavares,POR,MF,Leicester City,18,2001,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Charlie Taylor,ENG,DF,Burnley,26,1993,29,28,2426,27.0,0,1,1,0,0,0,1,0,0.1,0.1,1.4,1.5
Neil Taylor,WAL,DF,Aston Villa,31,1989,1,0,16,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Allan Tchaptchet,FRA,DF,Southampton,18,2001,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nathan Tella,ENG,"FW,MF",Southampton,21,1999,18,7,745,8.3,1,1,2,1,0,0,2,0,1.6,1.6,0.8,2.4
Alex Telles,BRA,DF,Manchester Utd,27,1992,9,8,690,7.7,0,2,2,0,0,0,0,0,0.2,0.2,0.9,1.0
Kenny Tete,NED,"DF,MF",Fulham,24,1995,22,18,1481,16.5,0,1,1,0,0,0,3,0,0.3,0.3,1.4,1.7
William Thomas Fish,ENG,FW,Manchester Utd,17,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Luke Thomas,ENG,DF,Leicester City,19,2001,14,12,969,10.8,1,0,1,1,0,0,2,0,0.3,0.3,0.7,1.0
Youri Tielemans,BEL,MF,Leicester City,23,1997,38,37,3357,37.3,6,4,10,4,2,2,6,0,4.4,2.8,3.1,5.9
Kieran Tierney,SCO,DF,Arsenal,23,1997,27,26,2299,25.5,1,3,4,1,0,0,4,0,0.5,0.5,3.5,4.0
James Tomkins,ENG,DF,Crystal Palace,31,1989,8,6,553,6.1,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5
Fikayo Tomori,ENG,DF,Chelsea,22,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ferrán Torres,ESP,"FW,MF",Manchester City,20,2000,24,15,1306,14.5,7,2,9,7,0,0,1,0,4.9,4.9,2.2,7.1
Cenk Tosun,TUR,FW,Everton,29,1991,5,0,48,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1
Andros Townsend,ENG,"MF,FW",Crystal Palace,29,1991,34,25,2258,25.1,1,5,6,1,0,0,0,0,2.3,2.3,4.0,6.2
Conor Townsend,ENG,DF,West Brom,27,1993,25,25,2234,24.8,0,2,2,0,0,0,0,0,1.1,1.1,2.7,3.7
Adama Traoré,ESP,"FW,MF",Wolves,24,1996,37,28,2649,29.4,2,2,4,2,0,0,4,0,2.0,2.0,4.8,6.9
Bertrand Traoré,BFA,FW,Aston Villa,24,1995,36,29,2317,25.7,7,6,13,7,0,0,1,0,6.6,6.6,4.3,10.9
Trézéguet,EGY,FW,Aston Villa,25,1994,21,12,1166,13.0,2,1,3,2,0,0,0,0,3.8,3.8,2.1,5.9
Leandro Trossard,BEL,"MF,FW",Brighton,25,1994,35,30,2607,29.0,5,5,10,5,0,0,2,0,4.6,4.6,4.9,9.5
Kostas Tsimikas,GRE,"DF,FW",Liverpool,24,1996,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Axel Tuanzebe,ENG,DF,Manchester Utd,22,1997,9,4,404,4.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
Cengiz Ünder,TUR,"FW,MF",Leicester City,23,1997,9,1,281,3.1,0,2,2,0,0,0,0,0,0.3,0.3,1.6,1.9
Yan Valery,TUN,"DF,MF",Southampton,21,1999,3,1,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2
Virgil van Dijk,NED,DF,Liverpool,29,1991,5,5,370,4.1,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2
Jamie Vardy,ENG,FW,Leicester City,33,1987,34,31,2840,31.6,15,9,24,7,8,9,1,0,19.9,12.8,4.7,17.5
Joël Veltman,NED,DF,Brighton,28,1992,28,25,2281,25.3,1,1,2,1,0,0,3,0,1.1,1.1,1.7,2.8
Jannik Vestergaard,DEN,DF,Southampton,27,1992,30,29,2574,28.6,3,0,3,3,0,0,3,1,1.5,1.5,0.5,2.1
Rúben Vinagre,POR,"MF,DF",Wolves,21,1999,2,1,173,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
Carlos Vinícius,BRA,FW,Tottenham,25,1995,9,3,308,3.4,1,0,1,1,0,0,2,0,1.2,1.2,0.1,1.3
João Virgínia,POR,GK,Everton,20,1999,1,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Vitinha,POR,MF,Wolves,20,2000,19,5,520,5.8,0,1,1,0,0,0,0,0,0.5,0.5,0.6,1.2
Jake Vokins,ENG,DF,Southampton,20,2000,1,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
Matěj Vydra,CZE,FW,Burnley,28,1992,28,15,1371,15.2,3,2,5,3,0,0,0,0,5.2,5.2,1.8,7.0
Theo Walcott,ENG,"MF,FW",Southampton,31,1989,21,20,1618,18.0,3,3,6,3,0,0,0,0,2.3,2.3,1.0,3.3
Theo Walcott,ENG,FW,Everton,31,1989,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Kyle Walker,ENG,DF,Manchester City,30,1990,24,22,1946,21.6,1,1,2,1,0,0,1,0,0.3,0.3,0.6,0.9
Kyle Walker-Peters,ENG,DF,Southampton,23,1997,30,30,2645,29.4,0,2,2,0,0,0,4,0,1.0,1.0,1.2,2.2
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,22,1997,34,34,3060,34.0,2,4,6,2,0,0,3,0,0.9,0.9,2.3,3.2
Joel Ward,ENG,DF,Crystal Palace,30,1989,26,25,2256,25.1,0,1,1,0,0,0,5,0,0.1,0.1,0.6,0.6
James Ward-Prowse,ENG,MF,Southampton,25,1994,38,38,3420,38.0,8,7,15,5,3,4,5,0,5.7,2.5,3.9,6.4
Ollie Watkins,ENG,FW,Aston Villa,24,1995,37,37,3328,37.0,14,5,19,13,1,2,4,1,14.5,13.0,5.3,18.3
Caleb Watts,AUS,MF,Southampton,18,2002,3,0,39,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Adam Webster,ENG,DF,Brighton,25,1995,29,29,2594,28.8,1,0,1,1,0,0,4,0,2.0,2.0,0.2,2.2
Danny Welbeck,ENG,FW,Brighton,29,1990,24,17,1545,17.2,6,1,7,6,0,1,0,0,6.6,5.8,2.8,8.7
Timo Werner,GER,"FW,MF",Chelsea,24,1996,35,29,2602,28.9,6,8,14,6,0,0,2,0,11.4,11.4,5.6,17.0
Ashley Westwood,ENG,MF,Burnley,30,1990,38,38,3410,37.9,3,3,6,3,0,0,7,0,1.2,1.2,6.8,8.0
Ben White,ENG,"DF,MF",Brighton,22,1997,36,36,3191,35.5,0,0,0,0,0,0,5,1,0.5,0.5,0.9,1.4
Georginio Wijnaldum,NED,MF,Liverpool,29,1990,38,34,2941,32.7,2,0,2,2,0,0,1,0,2.6,2.6,1.4,3.9
Brandon Williams,ENG,DF,Manchester Utd,19,2000,4,2,188,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3
Neco Williams,WAL,DF,Liverpool,19,2001,6,3,249,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3
Rhys Williams,ENG,DF,Liverpool,19,2001,9,7,661,7.3,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7
Willian,BRA,FW,Arsenal,31,1988,25,16,1406,15.6,1,5,6,1,0,0,0,0,1.9,1.9,3.0,5.0
Joe Willock,ENG,MF,Arsenal,20,1999,7,2,238,2.6,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.3
Joe Willock,ENG,MF,Newcastle Utd,20,1999,14,11,978,10.9,8,0,8,8,0,1,0,0,3.9,3.0,0.5,3.5
Callum Wilson,ENG,FW,Newcastle Utd,28,1992,26,23,2084,23.2,12,5,17,8,4,4,2,0,12.4,9.3,2.8,12.1
Harry Winks,ENG,MF,Tottenham,24,1996,15,9,861,9.6,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.2
Chris Wood,NZL,FW,Burnley,28,1991,33,32,2741,30.5,12,3,15,10,2,2,0,0,13.0,11.4,1.9,13.4
Granit Xhaka,SUI,"MF,DF",Arsenal,27,1992,31,29,2522,28.0,1,2,3,1,0,0,7,1,0.9,0.9,1.5,2.3
Andriy Yarmolenko,UKR,"FW,MF",West Ham,30,1989,15,1,375,4.2,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1.1
DeAndre Yedlin,USA,DF,Newcastle Utd,27,1993,6,5,436,4.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2
Okay Yokuşlu,TUR,MF,West Brom,26,1994,16,15,1317,14.6,0,1,1,0,0,0,4,0,0.9,0.9,0.7,1.5
Wilfried Zaha,CIV,FW,Crystal Palace,27,1992,30,29,2612,29.0,11,2,13,9,2,2,6,0,8.1,6.5,3.1,9.6
Andre-Frank Zambo Anguissa,CMR,MF,Fulham,24,1995,36,29,2587,28.7,0,3,3,0,0,0,6,0,1.6,1.6,2.5,4.0
Andi Zeqiri,SUI,"FW,DF",Brighton,21,1999,9,0,171,1.9,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8
Oleksandr Zinchenko,UKR,DF,Manchester City,23,1996,20,15,1478,16.4,0,0,0,0,0,0,0,0,0.7,0.7,0.9,1.6
Hakim Ziyech,MAR,"MF,FW",Chelsea,27,1993,23,15,1172,13.0,2,3,5,2,0,0,3,0,1.9,1.9,3.6,5.5
Kurt Zouma,FRA,DF,Chelsea,25,1994,24,22,2029,22.5,5,0,5,5,0,0,3,0,2.0,2.0,0.1,2.1
Martin Ødegaard,NOR,MF,Arsenal,21,1998,14,9,866,9.6,1,2,3,1,0,0,0,0,0.7,0.7,2.0,2.7
